"Metric 11: Percentage attainment of the Energy Efficiency Portfolio Standard (EEPS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://puc.hawaii.gov/reports/puc-annual-reports ","","","","","","Red indicates data not yet found","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"http://www.eia.gov/electricity/data/state/annual_generation_state.xls","","","","","","Gray Box indicates data not applicable","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","Units","Source","Notes","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"MECOFFSBTotal EE","","Total EE","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0232558139535","0.0251162790698","0.0274418604651","0.0249451162791","0.0272290697674","0.0298827906977","0.0329039534884","0.0372525581395","0.0405153488372","0.0424497674419","0.0443841860465","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"All HECO CompaniesFFSBAll HECO Companies","Total","All HECO Companies","percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"All HECO CompaniesFFSB  Displacement Tech: Photovoltaic Systems","","  Displacement Tech: Photovoltaic Systems","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"All HECO CompaniesFFSB  Displacement Tech: Solar Water Heating","","  Displacement Tech: Solar Water Heating","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0195348837209","0.0220930232558","0.0253488372093","0.0272741860465","0.030223255814","0.0400130232558","0.0419006976744","0.0371630232558","0.0335927906977","0.0293609302326","0.0251290697674","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"All HECO CompaniesFFSB  Energy Efficiency Technologies Total","","  Energy Efficiency Technologies Total","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0972093023256","0.110697674419","0.139069767442","0.169975116279","0.183635116279","0.209188139535","0.234666046512","0.275641860465","0.301759069767","0.324279767442","0.346800465116","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"All HECO CompaniesFFSBTotal EE","","Total EE","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.116744186047","0.132790697674","0.164418604651","0.197249302326","0.213858372093","0.249201162791","0.276566744186","0.318597906977","0.342266744186","0.361570465116","0.380874186047","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KIUCFFSBKIUC","Total","KIUC","percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KIUCFFSB  Displacement Tech: Photovoltaic Systems","","  Displacement Tech: Photovoltaic Systems","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KIUCFFSB  Displacement Tech: Solar Water Heating","","  Displacement Tech: Solar Water Heating","","","","0.0","0.0","0.0","0.0","0.00171790697674","0.0017576744186","0.0017811627907","0.0018211627907","0.00184581395349","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KIUCFFSB  Energy Efficiency Technologies Total","","  Energy Efficiency Technologies Total","","","","0.0","0.0","0.0","0.0","0.0","0.00442720930233","0.00485","0.00496488372093","0.0049676744186","0.00447279069767","0.00446906976744","0.00393279069767","0.00424744186047","0.00566697674419","0.0052188372093","0.00496976744186","0.0046388372093","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KIUCFFSBTotal EE","","Total EE","","","","0.0","0.0","0.0","0.0","0.00171790697674","0.00618488372093","0.0066311627907","0.00678604651163","0.00681348837209","0.00447279069767","0.00446906976744","0.00393279069767","0.00424744186047","0.00566697674419","0.0052188372093","0.00496976744186","0.0046388372093","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TotalFFSBTotal","","Total","percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TotalFFSB  Displacement Tech: Photovoltaic Systems","","  Displacement Tech: Photovoltaic Systems","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TotalFFSB  Displacement Tech: Solar Water Heating","","  Displacement Tech: Solar Water Heating","","","","0.0","0.0","0.0","0.0","0.00171790697674","0.0017576744186","0.0213160465116","0.0239141860465","0.0271946511628","0.0272741860465","0.030223255814","0.0400130232558","0.0419006976744","0.0371630232558","0.0335927906977","0.0293609302326","0.0251290697674","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TotalFFSB  Energy Efficiency Technologies Total","","  Energy Efficiency Technologies Total","","","","0.0","0.0","0.0","0.0","0.0","0.00442720930233","0.102059302326","0.11566255814","0.14403744186","0.174447906977","0.188104186047","0.213120930233","0.238913488372","0.281308837209","0.306977906977","0.329249534884","0.351439302326","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TotalFFSBTotal EE","","Total EE","","","","#N/A","#N/A","#N/A","#N/A","0.00171790697674","0.00618488372093","0.123375348837","0.139576744186","0.171232093023","0.201722093023","0.21832744186","0.253133953488","0.280814186047","0.324264883721","0.347485581395","0.366540232558","0.385513023256","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variable ES2030(u,p,y): Electricity Savings as percent of 2030 Forecast","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECOFFS2030HECO","Total","HECO","percentage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HECOFFS2030  Displacement Tech: Photovoltaic Systems","","  Displacement Tech: Photovoltaic Systems","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HECOFFS2030  Displacement Tech: Solar Water Heating","","  Displacement Tech: Solar Water Heating","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.00355813953488","0.00404651162791","0.00460465116279","0.00530148837209","0.00606746511628","0.00856751162791","0.00902190697674","0.00792146511628","0.00704630232558","0.0060501627907","0.00505402325581","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HECOFFS2030  Energy Efficiency Technologies Total","","  Energy Efficiency Technologies Total","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0203720930233","0.0237209302326","0.0316046511628","0.0421400232558","0.045438","0.0515118837209","0.0572885581395","0.0668480232558","0.0725000232558","0.0779383953488","0.0833767674419","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HECOFFS2030Total EE","","Total EE","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0239302325581","0.0277674418605","0.0362093023256","0.0474415116279","0.0515054651163","0.0600793953488","0.0663104651163","0.0760581627907","0.081077372093","0.0857268139535","0.090376255814","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HELCOFFS2030HELCO","Total","HELCO","percentage","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HELCOFFS2030  Displacement Tech: Photovoltaic Systems","","  Displacement Tech: Photovoltaic Systems","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HELCOFFS2030  Displacement Tech: Solar Water Heating","","  Displacement Tech: Solar Water Heating","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.000697674418605","0.000767441860465","0.000906976744186","0.00096711627907","0.00101169767442","0.00136548837209","0.00144265116279","0.0012501627907","0.00116358139535","0.00106862790698","0.000973674418605","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HELCOFFS2030  Energy Efficiency Technologies Total","","  Energy Efficiency Technologies Total","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.00341860465116","0.00376744186047","0.00397674418605","0.00328262790698","0.00347162790698","0.00435062790698","0.00534572093023","0.00682081395349","0.00796158139535","0.00858627906977","0.00921097674419","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HELCOFFS2030Total EE","","Total EE","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.00411627906977","0.00453488372093","0.00488372093023","0.00424974418605","0.0044833255814","0.00571611627907","0.00678837209302","0.00834544186047","0.00944804651163","0.0100093953488","0.010570744186","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MECOFFS2030MECO","Total","MECO","percentage","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MECOFFS2030  Displacement Tech: Photovoltaic Systems","","  Displacement Tech: Photovoltaic Systems","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MECOFFS2030  Displacement Tech: Solar Water Heating","","  Displacement Tech: Solar Water Heating","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.00160465116279","0.00181395348837","0.00209302325581","0.00191365116279","0.00198781395349","0.00207090697674","0.00210565116279","0.00197727906977","0.00186795348837","0.00168948837209","0.00151102325581","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MECOFFS2030  Energy Efficiency Technologies Total","","  Energy Efficiency Technologies Total","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.00537209302326","0.00572093023256","0.00613953488372","0.00556988372093","0.00618090697674","0.00689393023256","0.00776553488372","0.00902372093023","0.0100661162791","0.010759255814","0.0114523953488","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"MECOFFS2030Total EE","","Total EE","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.00697674418605","0.00753488372093","0.00823255813953","0.00748353488372","0.00816872093023","0.0089648372093","0.00987118604651","0.0111757674419","0.0121546046512","0.0127349302326","0.013315255814","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"All HECO CompaniesFFS2030All HECO Companies","Total","All HECO Companies","percentage","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"All HECO CompaniesFFS2030  Displacement Tech: Photovoltaic Systems","","  Displacement Tech: Photovoltaic Systems","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"All HECO CompaniesFFS2030  Displacement Tech: Solar Water Heating","","  Displacement Tech: Solar Water Heating","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.00586046511628","0.00662790697674","0.00760465116279","0.00818225581395","0.00906697674419","0.0120039069767","0.0125702093023","0.0111489069767","0.0100778372093","0.00880827906977","0.00753872093023","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"All HECO CompaniesFFS2030  Energy Efficiency Technologies Total","","  Energy Efficiency Technologies Total","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0291627906977","0.0332093023256","0.0417209302326","0.0509925348837","0.0550905348837","0.0627564418605","0.0703998139535","0.0826925581395","0.0905277209302","0.0972839302326","0.104040139535","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"All HECO CompaniesFFS2030Total EE","","Total EE","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.035023255814","0.0398372093023","0.0493255813953","0.0591747906977","0.0641575116279","0.0747603488372","0.0829700232558","0.095579372093","0.102680023256","0.108471139535","0.114262255814","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KIUCFFS2030KIUC","Total","KIUC","percentage","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KIUCFFS2030  Displacement Tech: Photovoltaic Systems","","  Displacement Tech: Photovoltaic Systems","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KIUCFFS2030  Displacement Tech: Solar Water Heating","","  Displacement Tech: Solar Water Heating","","","","0.0","0.0","0.0","0.0","0.000515372093023","0.000527302325581","0.000534348837209","0.000546348837209","0.000553744186047","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KIUCFFS2030  Energy Efficiency Technologies Total","","  Energy Efficiency Technologies Total","","","","0.0","0.0","0.0","0.0","0.0","0.0013281627907","0.001455","0.00148946511628","0.00149030232558","0.0013418372093","0.00134072093023","0.0011798372093","0.00127423255814","0.00170009302326","0.00156565116279","0.00149093023256","0.00139165116279","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"KIUCFFS2030Total EE","","Total EE","","","","0.0","0.0","0.0","0.0","0.000515372093023","0.00185546511628","0.00198934883721","0.00203581395349","0.00204404651163","0.0013418372093","0.00134072093023","0.0011798372093","0.00127423255814","0.00170009302326","0.00156565116279","0.00149093023256","0.00139165116279","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TotalFFS2030Total","","Total","percentage","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TotalFFS2030  Displacement Tech: Photovoltaic Systems","","  Displacement Tech: Photovoltaic Systems","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TotalFFS2030  Displacement Tech: Solar Water Heating","","  Displacement Tech: Solar Water Heating","","","","0.0","0.0","0.0","0.0","0.000515372093023","0.000527302325581","0.00639481395349","0.00717425581395","0.00815839534884","0.00818225581395","0.00906697674419","0.0120039069767","0.0125702093023","0.0111489069767","0.0100778372093","0.00880827906977","0.00753872093023","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TotalFFS2030  Energy Efficiency Technologies Total","","  Energy Efficiency Technologies Total","","","","0.0","0.0","0.0","0.0","0.0","0.0013281627907","0.0306177906977","0.0346987674419","0.0432112325581","0.052334372093","0.056431255814","0.0639362790698","0.0716740465116","0.0843926511628","0.092093372093","0.0987748604651","0.105431790698","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"TotalFFS2030Total EE","","Total EE","","","","#N/A","#N/A","#N/A","#N/A","0.000515372093023","0.00185546511628","0.0370126046512","0.0418730232558","0.051369627907","0.060516627907","0.0654982325581","0.0759401860465","0.084244255814","0.0972794651163","0.104245674419","0.109962069767","0.115653906977","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variable ES(u,y): Percent of All Electricity Generated Previous by utility and year","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total","HECO","percentage","","","","0.0","0.0","0.0","0.0","0.0","0.0443553601448","0.0515477269784","0.0673938449552","0.0885986970684","0.0977036411777","0.11672432141","0.130606031499","0.150527504273","0.166586821437","0.179156455547","0.191014006147","0.0","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","Total","HELCO","percentage","","","","0.0","0.0","0.0","0.0","0.0","0.0544783010157","0.0581915846016","0.0609225413403","0.0523757523646","0.0563184140645","0.0731604518694","0.0876747976857","0.108391659085","0.124793235352","0.13332168638","0.142598593345","0.0","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","Total","MECO","percentage","","","","0.0","0.0","0.0","0.0","0.0","0.0801924619086","0.0862619808307","0.0932069510269","0.0838","0.094482209892","0.107776686464","0.118741077865","0.135632915787","0.152176039803","0.160840904665","0.168588833061","0.0","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","Total","ALL HECO Companies","percentage","","","","0.0","0.0","0.0","0.0","0.0","0.0498857199642","0.0565906838454","0.0698892843021","0.0838280292548","0.0925493799453","0.110588492208","0.124155993624","0.143800155958","0.159868255471","0.171426293782","0.182454862514","0.0","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","Total","KIUC","percentage","","","","0.0","0.0","0.0","0.0163201371537","0.0606128979324","0.060205908684","0.0611413185823","0.0608522808701","0.0387201591245","0.0402916041162","0.0367220903644","0.0399410419136","0.0528623275651","0.0518077657396","0.0495274382471","0.0463965724175","0.0","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","All Utiltiies","","","","","","#N/A","#N/A","#N/A","0.000738948951902","0.00260383827007","0.0503496001749","0.0567962067727","0.0694787175909","0.0817171968205","0.0901558488253","0.107237176427","0.1203188172","0.139603098956","0.155012294642","0.165890379225","0.176236098746","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Variable FFES(u,y): Percent of Fossil Fuel Electricity Generated by utility and year","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Total","HECO","percentage","","","","0.0","0.0","0.0","0.0","0.0","0.0465804769406","0.0538740592344","0.0710423653412","0.092550324609","0.10263455262","0.123050670319","0.137102195193","0.161327328141","0.180307713886","0.202846970389","0.225184112561","0.0","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","Total","HELCO","percentage","","","","0.0","0.0","0.0","0.0","0.0","0.0713853599516","0.0767052159547","0.08198641368","0.0791180672815","0.0871283611554","0.110396671297","0.133992324016","0.183964578306","0.234249942485","0.256775646154","0.270860111445","0.0","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","Total","MECO","percentage","","","","0.0","0.0","0.0","0.0","0.0","0.0852660300136","0.0917899031107","0.104508015233","0.099107456343","0.109702154691","0.125189982931","0.140225114197","0.163662853663","0.19218257212","0.226804969148","0.254230356798","0.0","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","Total","All HECO Companies","percentage","","","","0.0","0.0","0.0","0.0","0.0","0.0536158668789","0.0606698117217","0.0761164463201","0.0921976194358","0.102201862657","0.122229917924","0.137205194529","0.163355020662","0.185597807753","0.209505458922","0.231889136717","0.0","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","Total","KIUC","percentage","","","","0.0","0.0","0.0","0.0163201371537","0.0643616351897","0.0654336002937","0.066450611706","0.0660272631488","0.0409814917825","0.0438966597751","0.0404029316449","0.0438146131652","0.0591251252691","0.05919620699","0.0591372975081","0.0587855542186","0.0","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!","#DIV/0!"
"","All Utiltiies","","","","","","#N/A","#N/A","#N/A","0.000779414180611","0.00278843383438","0.0541414293981","0.0609275068066","0.0756564408761","0.0897116658966","0.0994967003784","0.118501222248","0.132919882545","0.158472701126","0.179830681675","0.202523391743","0.223953824822","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
